Q55_What do you like most about the radio lessons?,Q56_What are the challenges with learning on the radio?
,
,
,
,
Prounciation,Lack of charging centre 
Good prounciation and new Vocabularies,Shortage of power for charging radio and inadequate radios for learning
,
,
,
,
Prounciation,"Lack of charging centre, no questions to be ask direct because it's far."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Because the lessons were well presented ,No feed back it's hard to clarify 
New knowledge  has been shared  ,The timing is very small and he is unable to record the radio lessons 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,I do not have radio at home
,
,
,
,
,
,
,
,
,
I like the presentation,"No, chance for asking questions"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,There is no books and most of the Learners did not have the textbook
,
,
,
English lesson,Teacher is very past when giving instructions
,
,
,
,
,
,Children will not learn througt radio that one is too big for as 
,Teaching on the air is not good
,Nh
,It's not enough
,
,
,
,It's because teacher who are teaching on the air very past for giving the lesson
,
,
,No chance repetition 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Because the lessons are timely and the learners are given chance to participate in the lessons.,"There is no interaction with the teachers and sometimes when there is a problem at the main radio station,the lesson gets interrupted."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
All the subjects,If you don't have a radio is a challenge
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,No radio at home 
,
Because after teaching he can still revise the notes he has taken during the lessons.,No challenge given by the learner
,
So that I develop school culture and remind us of old lessons gained,"If don't understand, you can't ask the presenter to repeat for you "
Get updates about the country as a whole.,It difficult to ask questions when ever you did not get well and those one without radio will have no access at all.
It educates every body as you attend to it especially those who left school long time ago.,"Network coverage some times affect them especially when you want to get clarification from the moderator, network could not allow."
,
,
,
,
Because it is one way of preventing coronas but when schools reopen pupils will get lesson from their teacher.,No challenge he has so far registered.
,
,
,
Clear explanation from the moderators .,No challenge she has got from lessons over radio
,
,
,
,
,
,
,
,If a child wants to ask questions she can't especially a child who has no phone to call the moderator and some time children wants to see the face of their teacher.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,The time is limited.
,Staying in one place
,
,
,
,
,
,
,
,
,
 English language,"Network problems
Poor signal
Timing
Power problems
Airtime"
I get new information.,Iam not use to it.
,It is difficult to understand when it comes to practical work like in chemistry and biology. 
,If want to ask a question line of radio is always busy
,
,
,We don't understand the teachers who are teaching
No answers given,Sometimes no time 
,
,
Because they broadcast well,Some people don't have radios other have no phone and some time no power
,
,
,
,
,
,
,
,
,
,
,
Lady program,Battery dropped
Sciences,I do not understand
I benefit from the lesson,We can see the teacher physical
,
,
,
,
,
,
,
,
,
